AIPPID,Title,AltTitle,Type,Media Identifier,Medium,Location,Artist(s),Date,Dimensions,Marks,Subject,Owner,Condition,References,HistoricalSubject,PublicSpace,Exterior/Interior,RecordCreationDate,Remarks,Latitude,Longitude,In Progress,Deaccessioned
163,The Family Group,Farm Family,Sculpture,Bronze,Hollow bronze on a marble and limestone base.,Cordell Hull State Office Building,"Mims, Puryear",1951,Approx. 66 x 56 x 42 inches,"(Front, lower part) PURYEAR MIMS/Mazzolini Art Foundry/Yellow Springs OH. Restored by Eleftherios Karkadoulias/Bronze Arts Cincinnati, OH 1979 signed Founder's mark appears.","A stylized depiction of a seated farm family. A man wearing trousers and no shirt or shoes holds a child in his lap. A dog sits on his proper right side and rests his head on the man's proper right thigh. To his proper left is a seated woman holding a baby in both arms. She wears a shin-length dress and no shoes. Her head is turned to the proper left side and she looks down at the baby. The sculpture rests on a smooth limestone base attached to a building.
Figure group - Family; Occupation - Farm; Animal - Dog","State of Tennessee, General Services Dept.",Surveyed 1992 October. Well maintained. Water Collects in figures' laps and other recessed areas. The sculpture was restored in 1979.,"Save Outdoor Sculpture, Tennessee survey, 1992.",FALSE,TRUE,TRUE,2/6/98,"Mims, Puryuear, 1906-1975, sculptor.
Mazzolini Art Foundry, founder.",36.167565,-86.783316,FALSE,FALSE
164,Jere Baxter,Jere Baxter School,Monument,Bronze,Bronze on granite base,Jere Baxter School,"Kinney, Belle",1907,Sculpture:  approx. 8x3x3 ft.; Base: approx. 7x6x6 ft.,"Belle Kinney (front of base;) JERE BAXTER/1852-1904/HIS GENIUS CONCEIVED THE/TENNESSEE CENTRAL RAILROAD/HIS COURAGE BUILT IT AND MADE/IT THE HERALD OF A NEW ERA FOR/THE CAPITAL OF HIS NATIVE STATE. (Base, proper left:) IN RECOGNITION OF HIS INVALUABLE/SERVICES TO HIS CITY AND STATE/AND IN COMMEMORATION OF HIS/COURAGE, PATRIOTISM, AND FORESIGHT/THIS MEMORIAL TO THE CITY'S GREAT/MATERIAL BENEFACTOR IS ERECTED/BY HIS FRIENDS AND FELLOW CITIZENS. (Base, proper right:) ""THAT I LOVE MY COUNTRY, THE/ MARKS I HAVE LEFT UPON IT SHALL/BE MY BEST TESTIMONY."" signed","Standing male figure in formal dress, with long buttoned coat.  The figure's proper right hand is slightly outstretched as in a welcoming gesture; his proper left leg is slightly forward and his gaze is straight ahead.  The figure stands on a rectangular base.
Portrait male -- Baxter, Jere -- Full length
Occupation -- Other -- Businessman",Metro Gov. of Nashville Board of Education,Surveyed 1992 January.  Treatment needed.  Sculpture shows evidence of metallic staining. Base shows evidence of spalling.,"Save Outdoor Sculputre, Tennessee survey, 1992.
National Park Service, American Monuments and Outdoor Sculpture Database, TN0074, 1989.
Monumental News, Nov. 1905. Pg. 748.",TRUE,TRUE,TRUE,2/17/98,"Jere Baxter (1852-1904) was a lawyer, business man, and politician in Tennessee. He founded the Tennessee Central Railroad, established a newspaper, and served in the TN State Senate. 
Commissioned before Nov. 1905; Dedicated May 28, 1907. When this piece was surveyed in 1992, there were plans to build a new Jere Baxter School on Hart Lane, in which case the stature would be moved there.  Cost of the sculpture was $2,100.",36.219047,-86.751574,FALSE,FALSE
165,Edward Ward Carmack,,Sculpture,Bronze,Bronze with brown patina on granite base.,Tennessee State Capitol,"Cox-McCormack, Nancy",1924,Sculpt.: 10x3x2;  bse: 4x6x6; lower: 4x20x30 ft,(On front of granite base:) Carmack (Tennessee State seal) 1796 (On bronze plinth:) Nancy Cox-McCormack/Rome 1924 signed.,"A full length standing portrait of Edward Ward Carmack wearing  formal dress including a knee-length coat, vest, and tie.  His proper right foot is slightly forward.  He has a moustache and looks straight ahead.  He stands atop a granite base with a curved front, stepped bottom, exedra and flower planter behind the sculpture.
Portrait male -- Carmack, Edward Ward -- Full length
Occupation -- Political -- Senator -- Writer -- Editor --Reformer","State of Tennessee, General Services Dept.",Surveyed 1992 February.  Well maintained.  Guano on sculpture.  Guano on base.  Brown staining and dirt on base.  Flower planter on base at back of sculpture has been filled in with cement.,"Save Outdoor Sculpture, Tennessee survey, 1992.
Nashville Banner (Nashville, TN), July 22, 1982, pg. A1, A16.",TRUE,TRUE,TRUE,2/17/98,"Edward Ward Carmack was editor of the Tennessean  newspaper, a U.S. senator, and a temperance leader.  Carmack was shot to death in 1908 by political rivals.  
Cox-McCormack, Nancy, 1885-1967, sculptor
Unknown (Rome, Italy), founder - Dedicated 1927.
Inscription on nearby marker reads:  CARMACK'S/PLEDGE TO THE SOUTH/THE SOUTH IS A LAND THAT HAS KNOWN/SORROWS; IT IS A LAND THAT HAS/BROKEN THE ASHEN CRUST AND/MOISTENED IT WITH TEARS; A LAND/SCARRED AND RIVEN BY THE PLOWSHARE/OF WAR AND BELLOWED WITH THE GRAVES/OF HER DEAD; BUT A LAND OF LEGEND./A LAND OF SONG, A LAND OF HALLOWED/AND HEROIC MEMORIES./TO THAT LAND EVERY DROP OF MY BLOOD,/EVERY FIBRE OF MY BEING, EVERY PULS-/ATION OF MY HEART, IS CONSECRATED/FOREVER./I WAS BORN OF HER WOMB; I WAS/NURTURED AT HER BREAST; AND WHEN/MY LAST HOUR SHALL COME, I PRAY/GOD THAT I MAY BE PILLOWED UPON/HER BOSOM AND ROCKED TO SLEEP/WITHIN HER TENDER AND ENCIRCLING ARMS./THIS TABLET PLACED HERE BY THE W.C.T.U. IAS files contain related articles from Nashville Banner grounds by the Women's Christian Temperence Union.",36.165267,-86.783817,FALSE,FALSE
167,Tennessee Confederate Women's Memorial,Civil War Mother,Sculpture,Bronze,"Sculpture: bronze, painted copper over patina;  Base: granite",Tennessee Legislative Plaza,"Kinney, Belle",1926,Sculpture: approx. 8x7x6 ft;   Base: approx. 11x6 1/2x6 ft.,"(On bottom of bronze sculpture:)  BELLE KINNEY (On bronze plaque, base:) ERECTED BY THE STATE OF TENNESSEE/TO COMMEMORATE THE HEROIC DEVOTION AND/SELF-SACRIFICE OF THE WOMEN OF TENNESSEE/DURING THE WAR BETWEEN THE STATES/ DEDICATED:  OCTOBER 10, 1926./BELLE KINNEY, SCULPTOR/THIS PLAQUE PLACED BY THE TENNESSEE HISTORICAL COMMISSION signed","Three seated figures. At the proper left is a male figure lying back against a broken cannon as if dying. In the center is a female figure representing a Greek goddess and wearing classical drapery and a laurel wreath on her head. She holds a wreath over the head of the female figure on her proper right who wears a dress of the Civil War period. The male figure is also dressed in Civil War era clothing. The woman on the proper right holds a palm branch over the man.  The man grasps a partially rolled up flag in his proper left hand.  His legs are bent under him as if he is kneeling or falling.  The sculpture is attached to a wall, and the rectangular granite base juts out.
History -- United States -- Civil War
Figure group
Dress -- Historic -- Nineteenth Century Dress
Object -- Weapon -- Cannon
Mythology -- Classical
Allegory -- Life -- Womanhood","State of Tennessee, General Services Dept.",Surveyed 1992 February. Well maintained. Sculpture is painted copper over patina and antiqued. The painted coating is in good condition. On the base there is a brown stain which has run off of the dedication plaque.,"Save Outdoor Sculputre, Tennessee survey, 1992.
Civil War Centennial Commission of Tennessee, ""Directory of Civil War Monuments and Memorials in Tennessee,"" Nashville, 1963, pg. 18.",TRUE,TRUE,TRUE,2/17/98,"IAS files contain a related article from Civil War Centennial Commission of Tennessee, ""Directory of Civil War Monuments and Memorials in Tennessee,"" Nashville, 1963, pg. 18, and a related unidentified article on Nashville's Commemorative Sculptures.",36.163689,-86.783584,FALSE,FALSE
168,Tennessee Korean War Memorial,,Monument,Bronze,Bronze sculpture on bronze base with black granite wall in back.  The back wall has bronze relief.,Tennessee Legislative Plaza,"Faxon, Russell",1992,Sculpture: approx. 5x5x2 ft.; Base: approx. 1x7x2 1/2ft Wall: 7ftx7ftx2in.,(On center front of base) KOREAN WAR/1950-1953/WHERE COMMUNISTIC MILITARY AGGRESSION WAS DEFEATED signed,"Two male figures dressed in combat fatigues and positioned in front of a wall with a map of Korea on it.  The proper left figure lunges forward on his proper right leg, wears a helmet, and carries a rifle out in front of his chest.  The proper right figure lunges forward on his proper left leg and holds a pistol at chest height in his proper right hand.  On either side of the back wall are low walls with inscriptions on them.
History -- United States -- Korean War
Occupation -- Military -- Soldier
Figure group -- Male
Landscape -- Bird's Eye View
Object -- Weapon -- Gun","State of Tennessee, General Services Dept.",Surveyed 1992 July.  Well maintained.  Surface is waxed and in good condition.,"Save Outdoor Sculpture, Tennessee survey, 1992.",TRUE,TRUE,TRUE,2/23/98,"Inferno Art Foundry, founder.
Cast 1991-1992.
See IAS files for dedication program.  Inscription on nearby plaque reads:  This memorial erected by the /TN Korean War Memorial/Association in cooperation with the/State of TN 4th Day of July/1992 (list of war dead carved on eight granite wall plaques).  Dixie Stone Company was involved with this project.",36.164141,-86.782894,FALSE,FALSE
169,Victory,Spirit of Youth,Sculpture,Bronze,Bronze with brown patina on a granite base.,Tennessee Legislative Plaza,"Kinney, Belle and Scholz, Leopold",1929,Sculpture: approx. 14x4 1/2x 7 ft.;   Base: 8x12x12 ft.,"Kunst Fndry N.Y. (On back of sculpture:) Belle Kinney and L. F. Scholz scs 1929 (Letters carved into granite base and goldleafed:) IN MEMORY OF THE SONS OF TENNESSEE WHO GAVE/THEIR LIVES IN THE GREAT WAR, 1914-1918 signed Founder's mark appears.","A statue of a classical warrior, nude except for sandals, a helmet, and a cloth which drapes around his proper left hip and loins. He holds a sword and wreath in his proper right hand. His proper right arm is draped with cloth.  He holds a small female figure of Nike in the palm of his proper left hand, which is outstretched. His proper left leg is bent and rests on a part of a ship's hull. The sculpture rests on a simple rectangular granite base with a stepped bottom.","State of Tennessee, General Services Dept.","Surveyed 1992 November. Well maintained. Patina is uneven in some areas. There are weep holes under proper left arm and in crotch area. A crack encircles proper left arm at drill hole. Bottom of granite base has lost its polish, changing the color and texture. Goldleaf missing from some of lettering.","Save Outdoor Sculpture, TN survey, 1992.",FALSE,TRUE,TRUE,2/23/98,"Kinney, Belle, 1890-1959, sculptor.
Scholz, Leopold F., 1877-1946, sculptor.
Kunst Foundry, founder.
Dedicated 1929.
Two bronze plaques (each 9 ft. x 4 1/2 ft.), on wall of building at proper left side of sculpture, inscribed with list of war dead from WWI.",36.164358,-86.783785,FALSE,FALSE
170,Founding of Nashville,,Sculpture,Copper,Copper on marble slab base.,Riverfront Park,"Mims, Puryear",1962,"94""L x 94""D x 73""H","On plaque: JAMES ROBERTSON;  JOHN DONELSON; On plaque on base: THE FOUNDING OF NASHVILLE/(Text describing the history of the founding of Nashville with the names of the signers of the Cumberland Pact on May 13, 1780.)","A depiction of the founders of Nashville, James Robertson and John Donelson shaking hands. The figures are heroic in size and are dressed in buckskins. One of the figures has an ax over his proper left shoulder. The other figure holds a rifle in his proper left hand with the butt of the gun resting on the plinth at his feet. The copper sculpture rests on a copper plinth on a two-tiered base of marble slabs.
History--United States--Westward Expansion
History--United States--Tennessee
Portrait male--Donelson, John--Full length
Portrait male--Robertson, James--Full length
Object--Tool--Ax
Object--Weapon--Gun","Metro Gov. of Nashville & Davidson Co, Parks & Rec","Surveyed 1992, October. Well maintained. Two bolts missing on plinth.  Some graffiti on back of sculpture and a few scratches on back of plinth.","Save Outdoor Sculpture, TN survey, 1992.
Holder, Philancy, ""Thomas Puryear Mims,"" Nashville: Tennessee Botanical Gardens and Fine Arts Center, 1977.",TRUE,TRUE,TRUE,2/23/98,"This sculpture was commissioned by Mayor Ben West in 1962 and was presented by the Metro Historical Commission in observance of Nashville's Century III Celebration on My 13, 1980.  Sculpture was formerly located inside the fort at Fort Nashborough.",36.164801,-86.77578,FALSE,FALSE
185,W. E. B. Dubois Statue,,Sculpture,Bronze,Bronze with a green patina on a metal base.,Fisk University,"Miles, James",1982,Sculpture: approx. 78x30x36 in.; Base approx. 32x40x44 in.,"(On sculpture plinth, back lower left:) J. Miles (followed by an insignia) (On base, front center:) W. E. B.  Dubois/ 1868-1963  signed","A full length portrait of W. E. B. Dubois.  Dubois wears a suit with wide lapels and buttoned cuffs, a buttoned vest, shirt, and bow tie.  His shoes appear to be of worn leather with thin soles.  He holds two large books in both hands at waist level.  The books are depicted with curled old pages and bound in old leather.  The statue rests on a simple cube-shaped metal base.
Portrait male -- Dubois, W.E.B. -- Full length
Ethnic -- Black
Occupation -- Education -- Teacher
Occupation -- Other -- Reformer
Occupation -- Other -- Historian",Fisk University,Surveyed 1992 July.  Well maintained.,"Save Outdoor Sculpture, Tennessee Survey, 1992.",TRUE,FALSE,TRUE,4/2/98,"Miles, James, sculptor.
Faxon, Russell, caster.",,,FALSE,FALSE
186,Thomas Gleen Ryman,,Sculpture,Bronze,Bronze sculpture with brick base,Ryman Auditorium,"Shields, Steve",1994,Life-size,"(Plaque on base) THOMAS GREEN RYMAN/1841-1904/A PROMINENT RIVER CAPTAIN AND/NASHVILLE BUSINESSMAN, THOMAS RYMAN/WAS KNOWN FOR HIS GENEROUS CONTRIBUTIONS/OF TIME AND MONEY TO THE CONSTRUCTION OF/THE UNION GOSPEL TABERNACLE.  IN 1904,/THE TABERNACLE WAS RENAMED THE RYMAN/AUDITORIUM IN HIS HONOR/SCULPTOR - STEVE SHIELDS signed","Full-length standing figure of Ryman, holding a section of a riverboat steering spoke.
Figure male -- Ryman, Thomas -- Full length
Architecture -- Boat -- Detail",Gaylord Entertainment Co.,Surveyed 1995 June. Well maintained. Surface of sculpture is waxed and coating is in good condition. Some evidence of metallic staining.,"Save Outdoor Sculpture, Tennessee Survey, 1995.",TRUE,FALSE,TRUE,4/7/98,"Thomas Ryman was a Nashville business man and riverboat captain. He generously donated time and money to build the Union Gospel Tabernacle, now called Ryman Auditorium.",36.161561,-86.777889,FALSE,FALSE
187,St. Vincent de Paul,Saint Vincent de Paul,Sculpture,Metal,Hollow metal,Ladies of Charity,"Faxon, Russell",1983,Approx. H. 5 ft. 8 in. W. 42 in.,,"De Paul wears long robes and a skull cap.  He stands holding a baby to his chest in his proper left arm.  He extends his proper right hand out to the side, palm up.  A small child stands in front of St. Vincent and grasps his robes.  The child wears loose trousers and shirt and no shoes.  The child looks down and to the proper left.  The sculpture hangs from the wall and is placed about two feet above the ground.",Ladies of Charity,"Surveyed 1992 July.  Treatment needed.  Sculpture appears to be waxed and wax is not in good condition.  Evidence of exposed armature, guano, black crusts, and pitting on sculpture.","Save Outdoor Sculpture, Tennessee Survey, 1992.",TRUE,TRUE,TRUE,4/7/98,"A sculpture of St. Vincent de Paul, a French priest who was the saint for charity to the poor and sick.  In France, around 1817 he founded the Sisters of Charity which is now the Ladies of Charity.",36.152335,-86.806028,FALSE,FALSE
189,Furman Memorial,,Sculpture,Granite,Barre granite,Mount Olivet Cemetery,"Gelert, Johannes S. and Cottrell, W. L.",,Sarcophagus:  18 X 22 X 12 ft.,,"Memorial consists of a sarcophagus and eight caryatids: two figures of Faith, two of Hope, two of Charity, and two of Resurrection.
Homage -- Furman
Allegory -- Quality -- Faith
Allegory -- Quality -- Hope
Allegory -- Quality -- Charity
Allegory -- Religion -- Salvation
Allegory",Mount Olivet Cemetery,,"Index of American Sculpture, University of Delaware, 1985.  National Park Service, American Monuments and Outdoor Sculpture Database, 1989.  Monumental News, Oct. 1908, pg. 729-730",TRUE,FALSE,TRUE,4/7/98,"Gelert, Johannes Sophus, 1852-1923, sculptor.
Cottrell, W.L. architect.
Harrison Granite Company, contractor.",,,FALSE,FALSE
191,Benedictio,,Sculpture,Stone,Stone,Mount Olivet Cemetery,"Mutt, G. & S.",,Approx. 80 X 36 X 36 in.,"(On base, just below figure's feet:)  g (or s) Mutt (On base, below figure:) BENEDICTIO (On low wall of base, one side of figure:) Fold Them O father In thine Arms/And Let Them Henceforth Be/Messenger's of Love Between/Our Human Hearts and Thee.  (On low wall of base, other side of figure:) In Loving Memory of/The Children of/James E. and May Winston Caldwell.  signed",A standing female figure draped in long flowing robes.  She raises her proper right outstretched arm above shoulder height and bends her proper left knee.  Her proper left arm is down by her side and she looks straight ahead.  The figure stands atop a base with low wall extending out from either side.,Mount Olivet Cemetery,"Surveyed 1992 December.  Treatment needed.  Proper right hand and toe of proper right foot missing.  Nose of the figure is eroding, and there is evidence of cracks, organic growth, and a chalky surface on sculpture.","Save Outdoor Sculpture, Tennessee Survey, 1992.",FALSE,FALSE,TRUE,4/7/98,"Signature on base appears to be either ""G"" or ""S"" Mutt.",,,FALSE,FALSE
193,Bate,,Sculpture,Concrete,Concrete,Mount Olivet Cemetery,Unknown,,Approx. H. 4 1/2 ft. Diam. 6 ft.,Unsigned,A concrete sculpture of calla lilies.  The lilies are very large and appear to emerge from the ground just below the blooms.  There appear to be two blooms and several leaves.,Mount Olivet Cemetery,"Surveyed 1992.  Treatment urgent.  Evidence of broken parts, organic growth, a granular surface, and spalling on sculpture.","Save Outdoor Sculpture, Tennessee Survey, 1992.",FALSE,FALSE,TRUE,4/7/98,,,,FALSE,FALSE
194,Bate,,Relief,Bronze,Bronze,Mount Olivet Cemetery,Unknown,,Approx. 3 ft  X 26 in  X 2 in,"(On front of base, top part:) BATE (On front of base below relief plaque:) GOD IS MY REFUGE AND STRENGTH","A bronze plaque with a silhouette portrait bust of William Brimage Bate on a large grave marker.  Bate is turned to the proper right side.
Portrait Male -- Bates, William -- Bust
Occupation -- Political -- Governor
Occupation -- Political -- Senator
Occupation -- Military -- General",Mount Olivet Cemetery,Surveyed 1992 December.  Treatment needed.  Evidence of pitting and metallic staining on sculpture.,"Save Outdoor Sculpture, Tennesee survey, 1992.",FALSE,FALSE,TRUE,5/1/98,"Inscription on nearby marker reads:  William Brimage Bate/Lies Buried Here/1826-1903/Brave Patriotic and Incorruptible/HE WAS CALLED UP TO BE/GOVERNOR, MAJOR-GENERAL, UNITED STATES SENATOR/""OF ALL HUMAN THINGS NOTHING IS MORE HONORABLE OR MORE/EXCELLENT THAN TO DESERVE WELL OF ONE'S COUNTRY.""",,,FALSE,FALSE
195,John L. Nolen,,Sculpture,Stone,Stone,Mount Olivet Cemetery,Unknown,,Approx. 6 1/2 X 3 X 3 ft.,"(On front of base:) JOHN L. NOLEN/JUNE 3, 1854/DEC. 14, 1903/PAST GRAND MASTER/PAST GRAND REPRESENTATIVE/GRAND SIRE/I.O.O.F./ERECTED BY THE ODD FELLOWS OF TENNESSEE (On back of base:) A MODEL CITIZEN/A NOBLE ODD FELLOW/A CHRISTIAN GENTLEMAN","A full length portrait of John L. Nolen atop an elaborate tiered base.  Noelen stands with his proper right hand placed on his chest.  His proper left hand holds a scroll and rest on a pedestal to his proper left side.  He wears a double-breasted coat, a shirt with a high collar and has a mustache.  His proper left foot is slightly forward.",Mount Olivet Cemetery,Surveyed 1992 December.  Treatment needed.  Evidence of guano and black crust on sculpture.,"Save Outdoor Sculpture, TN survey, 1992.",TRUE,FALSE,TRUE,5/1/98,,,,FALSE,FALSE
196,Moses R. Priest,,Gravestone,Stone,Stone,Mount Olivet Cemetery,Unknown,,Approx. 6 X 3 X 3 ft.,"(On front of base:) MOSES R. PRIEST/BORN AUG. 26, 1852/DIED JAN. 8 1891/REST IN PEACE (On front of base, lower tier:) PRIEST","A standing figure of Moses R. priest wearing a knee-length coat and a cape.  His proper left leg is slightly forward.  His proper right hand grasps his cape and his proper left hand is down by his side.  A tree stump is attached to the back of the proper left leg.  The figure stands atop an elaborate tiered base.
Portrait male -- Priest, Moses R. -- Full length",Mount Olivet Cemetery,"Surveyed 1992 December. Treatment needed.  Evidence of guano, black crust, and organic growth on sculpture.","Save Outdoor Sculpture, TN survey, 1992.",TRUE,FALSE,TRUE,5/1/98,,,,FALSE,FALSE
197,Phillips Monument,,Gravestone,Stone,Stone,Mount Olivet Cemetery,"Vichy, F.",,Approx. 9 1/2 X 4 X 3 ft.,F. Vichy Firenzo (or Fizen) (On front of base:) PHILLIPS signed,"A robed and winged female figure standing in front of a large crucifix which extends above her head.  The angel is turned slightly to the proper right and has her head tilted down and her arms crossed over her chest.  The sculpture stands on a tiered base.
Religion -- New Testament -- Angel
Object -- Other -- Cross",Mount Olivet Cemetery,"Surveyed 1992 December. Treatment needed. Tips of both wings and end of nose missing.  Evidence of guano, black crust, organic growth, and a granular surface on sculpture.","Save Outdoor Sculpture, TN survey, 1992.",FALSE,FALSE,TRUE,5/1/98,"Inscription on nearby marker reads: William Keeling/Phillips/Dec. 20 1853/Feb. 15, 1910/Louise Porter Phillips/Born Jan. 30, 1858/Died August 6, 1923.",,,FALSE,FALSE
198,(Warner Monument),,Gravestone,Marble,Sculpture: marble; sub base: marble; Bottom base: granite,Mount Olivet Cemetery,White & Son,,Sculpture: 5ftx2ft 7inx2ft 8in; Sub base: 2ft 2 1/2inx3ft 10inx2ft 11in;,"White & Son (On front of base in raised letters:) WARNER (There are also incriptions on the front and right sides of the sub base, as well as some illegible inscriptions.)  Founder's mark appears.","A sculpture of Christ, dressed in robes and seated on a square bench.  T o his proper left stands a small child wearing a dress.  On his proper left knee is a younger child looking up into his face.  On his proper right knee is an even younger child.  The children in the sculpture are believed to be likenesses of the three Burch children who died of cholera during a fifteen month period.  The sculpture rests on a two tiered rectangular base.
Religion -- New Testament -- Christ
Portrait group -- Burch -- Child",Mount Olivet Cemetery,Surveyed 1992 September. Treatment needed. Evidence of black crusts and organic growth on sculpture. Evidence of black crusts and organic growth on base. Some of the inscriptions are illegible.,"Save Outdoor Sculpture, TN survey, 1992.",FALSE,FALSE,TRUE,5/1/98,The Save Outdoor sculpture survey reported this monument was owned by the John C. Burch family and that the children depicted were the three Burch children.,,,FALSE,FALSE
199,Minnesota Monument,,Monument,Metal,Metal on stone,Nashville National Cemetery,"Daniels, John K.",1920,Sculpture: approx. 90x26 1/2x27in.; Base: approx. 77inx7ftx7ft,"FLORENTINE BROTH FOUNDRY (On back of base, lower right:) JOHN K. DANIELS (On front of base:) ERECTED A.D. 1920 BY THE/STATE OF MINNESOTA/IN MEMORY OF HER SOLDIERS/HERE BURIED WHO LOST THEIR LIVES/IN THE SERVICE OF THE UNITED STATES/IN THE WAR FOR THE/PRESERVATION OF THE UNION/A.D. 1861-1865.  signed Founder's mark appears.","A monument which consists of a robed woman atop a rectangular base.  The woman stands holding a wreath in both hands at about hip level. She looks straight ahead and wears her hair pulled back from her face. She has a cloak over her shoulder. Her proper left leg is slightly bent and slightly forward. The figure stands atop a simple stone base with a stepped bottom.
History -- United States -- Civil War
Allegory -- Civic -- War
Figure female -- Full length",Veterans Administration,Surveyed 1992 July.  Well maintained.  Evidence of guano and black crusts on sculpture.,"Save Outdoor Sculpture, TN survey, 1992.  Civil War Centennial Commission of TN, ""Directory of Civil War Monuments and Memorials in Tennessee,"" Nashville, 1963, p. 17.",TRUE,TRUE,TRUE,5/1/98,"IAS files contain a copy of related article from Directory of Civil War Monuments and Memorials in Tennessee.
John K. Daniels b. 1875, sculptor
Florentine Brotherhood Foundry, founder.",,,FALSE,FALSE
202,Statue of Sacred Heart,,Sculpture,Stone,Stone,Saint Cecilia Motherhouse,Unknown,1910,7'H,,"A stature of Christ, standing and wearing long robes. He holds his proper right hand stretched downward, palm up. His proper left hand is raised to chest, proper left arm bent. His face us turned slightly downward and his gaze is down. He has long hair and a full beard.
Religion -- New Testament -- Christ",Saint Cecilia Motherhouse,"Surveyed 1992 July. Treatment urgent. The sculpture has a deep long curved crack and shows evidence of structural instability. The sculpture is missing the thumb and finger tips of the proper right hand, and parts of the proper left hand. The sculpture also shows evidence of black crusts, a chalky and eroding surface with some spalling. Water collects in recessed areas. The base is stained from water run-off.","Save Outdoor Sculpture, TN survey 1992.",FALSE,FALSE,TRUE,5/1/98,"The sculpture was purchased in 1902 for four hundred fifty dollars. According to the SOS survey, prior to an interstate rerouting, the sculpture was within twenty feet of a busy street.",36.185905,-86.800555,FALSE,FALSE
203,Angel,,Sculpture,Stone,Stone on concrete and brick base.,Saint George's Episcopal Church,"Ralston, William",1986,"70""H x 6""W x 6""L",,"An elongated figure consisting of a stylized face atop a tall column. The figure has two arm or wing-like appendages. The proper left one reaches up to the face and the proper right one is down by its side. In front of the figure is a curved bench with a bird placed on one corner. Religion -- New Testament -- Angel
Animal -- Bird",Saint George's Episcopal Church,Surveyed 1992 July. Well maintained,"Save Outdoor Sculpture, Tennessee survey, 1992.",FALSE,FALSE,TRUE,5/1/98,"The bench and bird were not originally part of the sculpture, but were added later.
Formerly in the collection of Mr. & Mrs. George R. Hill.",,,FALSE,FALSE
204,Calla Lilly,,Sculpture,Concrete,Concrete,Mount Olivet Cemetery,Unknown,,Approx. H 4-1/2 ft  X 6 ft  Diam,Unsigned,"A concrete sculpture of calla lillies. The lillies are very large and appear to emerge from the ground just below the blooms. There appear to be two blooms and several leaves.
Object -- Foliage -- Calla Lilly
Homage -- Pritchett",Mount Olivet Cemetery,"Surveyed 1992. Treatment urgent. Evidence of broken parts, organic growth, a granular surface and spalling on sculpture.","Save Outdoor Sculpture, Tennessee survey, 1992.",FALSE,FALSE,TRUE,9/2/98,,,,FALSE,FALSE
207,Women Suffrage Memorial,,Sculpture,Bronze,,Tennessee State Capitol,"LeQuire, Alan",1998,,,,"State of Tennesse, Tennessee Historical Commission",,,TRUE,TRUE,FALSE,9/2/98,,,,FALSE,FALSE
208,The Bill of Rights Eagle,,Sculpture,Bronze,Bronze,Vanderbilt University,"Wyatt, Greg",1997,"5'-6' height, 4' x 4' spread",,An eagle with wings spread,Vanderbilt University,,,FALSE,FALSE,TRUE,9/2/98,,36.146935,-86.802258,FALSE,FALSE
209,President Andrew Johnson,,Sculpture,Bronze,Bronze,Tennessee State Capitol,"Grey, Jim",,,,,"State of Tennesse, Tennessee Historical Commission",,,TRUE,FALSE,TRUE,9/2/98,,36.165597,-86.783313,FALSE,FALSE
